"/@type","/acceptedAnswer/@type","/acceptedAnswer/text","/name"
"Question","Answer","As a Swinburne Online student, you’ll have support for extended hours, seven days a week, with Student Advisors available to help with anything from tech support to research advice and dedicated online tutors in each of your units. Learn more about your support.","What support can I expect?"
"Question","Answer","Yes, Swinburne Online’s MBA is a postgraduate degree, meaning that previous tertiary study is an entry requirement for the course. If you have not studied at a tertiary level before, you may seek entry into the course via the Graduate Certificate of Business Administration. See the entry requirements for more information.","Is an MBA too advanced for someone who has never studied?"
"Question","Answer","Yes, there are no requisite live or in-person sessions, so you can elect to study anytime, anywhere. If you find the combination of full-time work and full-time study to be too much, you can choose to study part-time.","As I am studying online, can I pursue full-time opportunities throughout my studies?"
"Question","Answer","When you complete an MBA with Swinburne Online, you will be rewarded with not only a top-tier master’s qualification, but also a valuable network of like-minded business professionals. Forge connections, motivate one another and share opportunities and ideas that you can continue to draw upon long after graduation. ","Do these degrees provide any networking opportunities?"
"Question","Answer","Your Master of Business Administration will give you the decisive vision and professional agility needed to stand apart from your peers. Gain the advanced skills essential to excelling as a leader in business. Leverage your MBA to grow your business as an entrepreneur, or step up into a senior management position.","How will Swinburne prepare me for future job opportunities?"
"Question","Answer","Different universities structure their MBAs in different ways. Swinburne Online’s MBA is highly flexible, meaning that you can tailor the course content to suit your specific interests and career goals. Additionally, Swinburne University’s MBA has a Tier-1 rating and is in the top Online MBAs in CEO Magazine's 2022 Global Rankings, and is accredited by the Association to Advance Collegiate Schools of Business (AACSB), a globally recognised business school standard achieved by less than 5 per cent of business schools worldwide. When you complete your MBA with Swinburne Online, you will receive the same globally recognised MBA as on-campus students, without having to attend any in-person or live teaching sessions.","With an MBA, does the institution matter?"
"Question","Answer","An MBA will enhance your professional skillset and give you the tools to grow your customer base, output and profit margin. With new insights into contemporary business practice, you will be ready to strategically upscale your processes and take your business to the next level.","As a business leader/owner what value can an MBA add that I do not gain in my current vocation?"
"Question","Answer","An MBA signals to employers your readiness for a senior management position. An MBA is an advantage or requirement for employment in the following roles: Senior Associate Strategic Manager Executive General Manager Managing Director Chief Operating Officer Chief Executive Officer (CEO). ","What job opportunities require an MBA?"
"Question","Answer","An MBA will equip you with the skills needed to thrive in business: strategy, innovation, marketing and management. Additionally, it signals to employers your readiness for a senior management position. The 2021 GMAC Corporate Recruiters Survey revealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels. Additionally, an MBA from Swinburne Online is globally recognised, meaning that your qualification could create opportunities worldwide.","Is an MBA still necessary in 2022?"
"Question","Answer","A survey of recent Swinburne Online graduates revealed that 90 per cent of Business alumni were employed full-time. This comes as no surprise as the 2021 GMAC Corporate Recruiters Survey revealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels.","What is the likelihood of employment with an MBA?"
"Question","Answer","In 2020, the Australian Government Department of Education, Skills and Employment Graduate Outcomes Survey found that working professionals without a postgraduate degree received a median salary of $64,000 per year, while those with a postgraduate degree in addition to their undergrad degree earned on average $98,000 per year. The Australian Financial Review reported in its 2019 MBA Rankings that Australian MBA graduates see an average salary increase of 28 per cent to reach $157,000 within three years of completing their course. ","Is there a pay increase between undergraduate and MBA students?"
"Question","Answer","Swinburne University’s MBA has a Tier-1 rating and is in the top Online MBAs in CEO Magazine's 2022 Global Rankings. It is also accredited by the Association to Advance Collegiate Schools of Business (AACSB), a globally recognised business school standard achieved by less than 5 per cent of business schools worldwide. When you complete your MBA with Swinburne Online, you will receive the same globally recognised MBA as on-campus students, without having to attend any in-person or live teaching sessions. Swinburne Online’s MBA is highly flexible, meaning that you can tailor the course content to suit your specific interests and career goals.","Why should I choose Swinburne over different providers? "
"Question","Answer","A survey of recent Swinburne Online graduates revealed that 90 per cent of Business alumni were employed full-time. This comes as no surprise as the 2021 GMAC Corporate Recruiters Survey revealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels. With a new job title, you can expect an increased salary. Australian Financial Review reported in its 2019 MBA Rankings that Australian MBA graduates see an average salary increase of 28 per cent to reach $157,000 within three years of completing their course. ","What quantitative value can I hope for in taking on an MBA? "
"Question","Answer","All students enrolled into the STARS program will receive a $900 Stipend to assist with the cost of their study or professional placement.","Is STARS paid?"
"Question","Answer","The STARS professional placements are part of the required professional placements in your course. They are not extra placements.","Are STARS placements extra placements or part of my course?"
"Question","Answer","You will be able to complete your final two placements through the STARS program at your school. You will also be able to continue with PTT across the year. For example, it may be that you have a split, perhaps three days in STARS and two days in PTT. The STARS part would need to be supervised and would also allow you to do the GTPA (final placement assessment). After you have submitted your application for the STARS program, please reach out to Jade on this email address: edpartnerships@swinburneonline.com and she will be able to assist you in negotiating this with your school.","Can I complete my two STARS placements in the school that I am doing Permission To Teach (PTT) work? The school fits the low-socioeconomic criteria and have said they would be happy for me do my STARS placements there. "
"Question","Answer","Swinburne will try to match you to a school as close as possible to your usual place of residence. The maximum travel time from your home to the school will be 90 minutes however, every endeavour will be made to try to ensure it is less than this.","When Swinburne matches the student to the placement school, what is the criteria for travel expectations, will Swinburne match me to somewhere within a reasonable distance from my home or could it be anywhere in regional/rural Victoria?"
"Question","Answer","The STARS modules remain open all the time, so you will be able to complete the module work at a time that suits you. There are five modules, each with approximately 1.5–2 hours of reading and activities. Allow 7.5–10 hours in total to complete the STARS modules.","When do the STARS Canvas modules open? Would I be able to have access to them at the start of the teaching period as I'd like to work on the STARS module before placement?"
"Question","Answer","You will receive a certificate of completion outlining your completion of the program. This certificate will be a valuable addition to your resume when applying for graduate teaching positions.","What will I receive at completion of this program?"
"Question","Answer","No, all costs associated with travel or accommodation will be incurred by the pre-service teacher. We hope to match pre-service teachers with a school in their area. If you are a successful applicant, and there may be travel involved for you to get to the school. We will discuss with you the situation before matching you to the school.","Will there be any financial support for travel or accommodation to undertake a placement in regional or remote Victoria? "
"Question","Answer","We will be open to discuss this with you further.","I have secured a placement in a school setting that is not a regional, remote or low socioeconomic school. If I am successful in my application will you help me change to a STARS-approved school setting? "
"Question","Answer","No, we will work with the schools upon a successful application.","I am a Master of Teaching (Secondary) student applying for the STARS program. Does it matter the year level of placement or my Specialist Teaching Area? "
"Question","Answer","Provided your secured placement is in regional, rural or low socioeconomic Victorian school and you have been successful in your STARS application, Swinburne can support negotiations with your placement setting to ascertain if they wish to be part of the program.","What if I have already organised my placement/s? Can I still participate in the program?"
"Question","Answer","Victorian Department of Education and Training (DET) will be supporting Swinburne to access and source the placement schools on your behalf.","How do I organise a placement in a STARS-approved school setting? "
"Question","Answer","The STARS program placement schools can be in regional and rural or low socioeconomic schools in Victoria that will be selected by Swinburne, with pre-service teachers matched to schools.","What schools can I do my placement in as part of the STARS program?"
"Question","Answer","During the year the program runs (mid-year 2022 to mid-year 2023), you must undertake both remaining placements (or the one remaining), in your course during this time.","How many practicums will I need to complete during the STARS program? "
"Question","Answer","This program will run alongside your current units of study. You will be enrolled into a STARS program unit. The unit is at no cost to you. Introductions to the STARS program are planned to commence in late May/early June. The STARS unit will commence from June. There are five modules of additional study and activities supported by academic teacher mentors Engagement with the modules will be periodic, and is planned to occur between June to October 2022. The workload per module is anticipated to be approximately 10 hours over two to three weeks for each module.  More specific details will be provided to successful applicants.","How will the STARS program fit in with my current units of study?"
"Question","Answer","This opportunity is only open to 75 students and therefore a rigorous selection process will take place."," How many pre-service teachers can partake in the STARS program for 2022–2023 year?"
"Question","Answer","The STARS program commences mid-year 2022 (TP2, Q3).","When does the STARS program commence? "
"Question","Answer","You can.  If you wish to continue studying the course after 1 December 2020, you will be eligible for a Commonwealth Supported Place for the rest of your studies.","What if I want to continue studying after 1 December 2020?"
"Question","Answer","Not exactly. The federal government is providing discounts for students who are enrolled in qualifications recognised by the Australian Qualification Framework. This means, to ensure you receive the discounted course fee, you need to enrol in at least a graduate certificate level qualification. If you only complete the first two units, Swinburne is ensuring that you still receive a qualification by awarding you a professional certificate.","Can I enrol in a Professional Certificate?"
"Question","Answer","Professional Certificates are generally the first two units of a Graduate or Undergraduate Certificate and provide you with solid introductory knowledge, as well as contributing to the higher degree should you wish to continue studying later. Professional Certificates are a good way of upskilling quickly and providing you with an opportunity to start your education journey at a discounted fee.","What is a Professional Certificate?"
"Question","Answer","If you enrol in the Graduate Certificate, you can choose to complete your studies after the first two units and exit with a University-accredited Professional Certificate.","What if I only want to complete two units?"
"Question","Answer","Yes, students can defer their payment though a HECS-HELP loan.","Can I obtain help to defer payment?"
"Question","Answer","Your discounted fee will be applied at the time of enrolment.","How do I ensure I’m enrolled with a discounted fee?"
"Question","Answer","Swinburne University has worked with the Federal Government to provide short, focused online courses to workers displaced by the COVID-19 crisis. These courses have been significantly discounted to allow you to complete study during the next 6 months and support your future employment opportunities.","Why are these courses discounted?"
"Question","Answer","Undergraduate Certificate of Information and Communication Technology Teaching Period 2 July – November COS10005 Web Development ICT10001 Problem Solving with ICT Teaching Period 3 November – February INF10002 Database Analysis and Design INF10003 Introduction to Business Information Systems Graduate Certificate of Management (Workplace Transformation) Teaching Period 2 July – November HRM60016 Behaviour in Organisations INF80042 Technology Essentials for Managers Teaching Period 3 November – February FST80008 Designing for Change MGT60044 Leading Innovation in the Workforce","What is the entry criteria?"
"Question","Answer","Undergraduate Certificate of Information and Communication Technology Teaching Period 2 July – November COS10005 Web Development ICT10001 Problem Solving with ICT Teaching Period 3 November – February INF10002 Database Analysis and Design INF10003 Introduction to Business Information Systems Graduate Certificate of Management (Workplace Transformation) Teaching Period 2 July – November HRM60016 Behaviour in Organisations INF80042 Technology Essentials for Managers Teaching Period 3 November – February FST80008 Designing for Change MGT60044 Leading Innovation in the Workforce","What units will I study?"
"Question","Answer","Units you complete prior to 1 December are discounted, so this includes the two units available in Teaching Period 2, 2020. If you continue studying following Teaching Period 2, you can do so with a Commonwealth Supported Place, rather than the standard full fee unit fee.","Is the whole course discounted?"
"Question","Answer","Yes, we will be offering a range of courses as part of this initiative. Read more about our priority course program.","Will you be offering courses as part of the government’s higher education relief package?"
"Question","Answer","When students graduate from our courses, they will receive the same accredited qualification as a Swinburne University of Technology on-campus student. The graduation certificate awarded will also be the same. Our courses and learning outcomes are the same as Swinburne University of Technology’s, but we adapt the material and its delivery to enable students to enjoy the most engaging online environment.","Will I receive the same qualification as an on-campus student?"
"Question","Answer","We can potentially offer students unit exemptions for our undergraduate courses, based on diploma and higher education qualifications undertaken within the last 10 years. Previous studies don’t necessarily need to be related to the field you’re looking to pursue with us to make you eligible for exemptions. We can also award unit exemptions towards our postgraduate courses, where previously completed studies are considered academically equivalent (i.e. postgraduate level) and have been completed within the last 10 years. TAFE students may be eligible to receive credit for previous study and work experience. If you’ve completed units or certificates at another recognised institute or training organisation, you may be able to apply for a credit transfer. Alternatively, if you have significant work experience related to your studies, you can apply to have this recognised through recognition of prior learning.","Will I receive credit for my previous studies?"
"Question","Answer","Anyone who works with children in Australia must have a valid Child Safety Screening Check. To ensure your placements run smoothly and there are no delays in your course progression make sure you complete the Child Safety Screening Check requirements for your state as soon as you enrol. You will have access to instructions for your state once you’re enrolled in your course.","Will I need to be screened to work with children?"
"Question","Answer","The majority of your learning will be completed online, however you will also have the opportunity to attend Simulation Labs and Clinical Placements during your course. These aspects incorporate essential practical and experiential learning elements to your learning and better prepare you for working as a nurse. Students are required to achieve a minimum of 400 hours of Clinical Placement throughout the course’s two-year duration.","Will I need to attend placements to complete the Diploma of Nursing?"
"Question","Answer","Yes, some of your units in the Diploma of Nursing course require you to sit exams. More information about exams and your study support options will be discussed on orientation day.","Will I have to sit exams in the Diploma of Nursing?"
